filename,actual_caption,generated_caption,BERT_f1_score
path\to\your\images\6239.png,"Vertical stratification effect can be detected on the high altitude areas of the region. Turbulent mixing effect can also be detected on the central, top-left and bottom-left side. Two deformation patterns can be detected on the right side. A sill-type of high intensity on the leftmost and sill-type of low intensity on the rightmost.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.809475362
path\to\your\images\10479.png,Noise can be detected on the top-right side of the area. Vertical stratification effect can be detected on the central and top-rigth side of the region. Two deformation patterns can be detected on the bottom-left side of the region. A sill-type of low intensity in the upper and a mogi-type of low intensity in the bottom side.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.816197574
path\to\your\images\10073.png,No deformation activity can be detected. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.636739194
path\to\your\images\16819.png,Noise can be detected on the central area. A sill-type deformation pattern of low intensity can be detected on the leftmost side. The atmospheric impact is low.  ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.784828484
path\to\your\images\6286.png,"Noisy areas caused by low coherence can be detected on the rightmost and top-left side of the region. Vertical stratification effect can be detected on the high altitude areas of the region. Turbulent mixing effect can also be detected on the top-left, central and bottom-right side. Two deformation patterns can be detected on the right side. A dyke-type of medium intensity can be detected on the leftmost and a sill-type of the high intensity on the rightmost.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.811411381
path\to\your\images\972.png,"Turbulent mixing effect can be detected on the top, left and central side of the region. A sill-type deformation pattern of medium intensity can be detected at the bottom of the image. ",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.859446943
path\to\your\images\1146.png,Turbulent mixing effect can be detected on the wider area of the region. A mogi-type deformation pattern of low intensity can be detected on the central-left side of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.841123044
path\to\your\images\1276.png,"Two deformation patterns can be detected. A sill-type of low intensity is located at the bottom and a mogi-type of low intensity is located in the central-left side of the image, respectively. The atmospheric impact is low.",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.71487546
path\to\your\images\1255.png,"Vertical stratification effect can be detected on the high altitude areas of the region. Two deformation patterns can be detected. A sill-type of high intensity is located at the bottom and a sill-type of medium intensity is located in the central-left side of the image, respectively.",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.841796041
path\to\your\images\8434.png,Noise can be detected on the bottom-right area. Turbulent mixing effect can be detected on the central-left and central side of the region. Vertical stratification can also be detected on the central-top and top-left side. An earthquake deformation pattern can be detected on the top-central side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.871385455
path\to\your\images\8914.png,Turbulent mixing effect can be detected on the bottom-right side of the region. A sill-type deformation pattern of high intensity can be detected on the bottom-right side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.906776011
path\to\your\images\26.png,"Vertical stratification and turbulent mixing effects can be detected around the area. Also, noisy areas can be detected due to low coherence. No deformation activity can be detected. The image has a processing error related to swath merging. Missing information.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.666020334
path\to\your\images\966.png,"Turbulent mixing effect and wave-like patterns caused by atmospheric delays can be detected on the top, left and bottom-left side of the region. A sill-type deformation pattern of high intensity can be detected at the bottom of the image. ",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.819169521
path\to\your\images\8903.png,Vertical stratification effect can be detected on the wider area of the region. A dyke-type deformation pattern of medium intensity can be detected on the bottom-right side of the region.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.880634069
path\to\your\images\10254.png,Noise can be detected on the top-right and central side of the area. A vertical stratification effect of low intensity can be detected on the central side of the region. A sill-type deformation pattern of low intensity can be detected on the bottom-left side of the region.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.809134126
path\to\your\images\12942.png,Noise can be detected on the wider left side of the image. Two deformation patterns can be detected on the central side of the region. One mogi-type of medium intensity in the upper and one mogi-type of medium intensity at the bottom. The atmospheric impact is low.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.755976915
path\to\your\images\4472.png,Noisy areas can be detected on the top and right side of the region due to low coherence. Vertical stratification effect can be detected on the central and bottom-right side of the region. A spheroid-type deformation pattern o low intensity can be detected on the bottom-right side of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.770385861
path\to\your\images\281.png,"Vertical stratification effect and, noisy areas caused by low coherence, are detected on the wider area of the image. A dyke-type deformation pattern of high intensity is detected at the bottom of the image. ",vertical stratification effect can be detected on the top and top - left side of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.807704687
path\to\your\images\16804.png,Noise can be detected on the central area. Turbulent mixing effect can be detected on the wider area. A sill-type deformation pattern of low intensity can be detected on the central side. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.801603675
path\to\your\images\10586.png,Noise can be detected on the top-left side. A dyke-type deformation pattern of low intensity can be detected on the bottom-left side. The atmospheric impact is low.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.780845165
path\to\your\images\6225.png,Turbulent mixing effect can be detected on the wider area of the region. A sill-type deformation pattern of low intensity can be detected on the right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a mogi - type deformation pattern of low intensity can be detected on the central - right side.,0.855213046
path\to\your\images\1148.png,"Turbulent mixing effect can be detected on the top, central and bottom-right side of the region. Two deformation patterns can be detected. A sill-type of low intensity is located at the bottom and a mogi-type of low intensity is located in the central-left side of the image, respectively. ",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.734984696
path\to\your\images\959.png,Turbulent mixing effect can be detected on the leftmost and bottom-left side of the region. A sill-type deformation pattern of medium intensity can be detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.854944885
path\to\your\images\3006.png,Noise is covering the wider left side of the region due to low coherence. Turbulent mixing effect is detected on the central side of the region. A dyke-type deformation pattern of high intensity is detected on the central of the image.,vertical stratification effect can be detected on the top and top - left side of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.788725197
path\to\your\images\6464.png,Noise caused by low coherence can be detected on the top-left and right side. Turbulent mixing effect can be detected on the wider area of the region. A wave-like pattern caused by atmospheric delays can be detected on the central-left side of the region. Two deformation patterns can be detected on the central and right side. A sill-type of low intensity can be detected close to the center  and a sill-type of low intensity on the rightmost.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.789696574
path\to\your\images\6248.png,Vertical stratification effect can be detected on the top-left side of the region. A wave-like pattern caused by atmospheric delays can also be detected on the central and bottom-left side. A sill-type deformation pattern of low intensity can be detected on the right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.880459309
path\to\your\images\652.png,Turbulent mixing effect is detected on the center of the area. A sill-type deformation pattern of low intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.876652122
path\to\your\images\9215.png,"Turbulent mixing effect can be detected on the bottom-right, central and top-left side of the region. An unidentified deformation pattern of high intensity can be detected on the bottom-right side of the region.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.871818721
path\to\your\images\12888.png,Noise can be detected on the wider left side of the image. An image artifact can be detected at the bottom of the image. Vertical stratification can be detected on the wider central side of the region. A mogi-type deformation pattern of medium intensity can be detected on the upper-central side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.874586105
path\to\your\images\1059.png,Turbulent mixing effect can be detected on the bottom-right and top side of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.874879777
path\to\your\images\640.png,Turbulent mixing effect is detected on the wider area of the image. A sill-type deformation pattern of low intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.874291658
path\to\your\images\1117.png,"Turbulent mixing effect can be detected on the top and bottom-left side of the region. Two deformation patterns can be detected. A sill-type of low intensity is located at the bottom and a dyke-type of high intensity is located in the central-left side of the image, respectively. ",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.748392284
path\to\your\images\1257.png,Vertical stratification effect can be detected on the high altitude areas of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,1
path\to\your\images\691.png,Turbulent mixing effect is detected on the center and the top side of the region. A vertical stratification effect is also detected on the leftmost and the bottom-left side. A sill-type deformation pattern of medium intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.820780694
path\to\your\images\1270.png,Turbulent mixing effect can be detected on the left and bottom-left side of the region. A sill-type deformation pattern of low intensity can be detected at the bottom of the image.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.872378051
path\to\your\images\7176.png,Noisy areas can be detected due to low coherence. No deformation activity can be detected. Image artifacts are detected on image.,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.621323228
path\to\your\images\16874.png,"Noise can be detected on the central side. Vertical stratification effect can be detected on the left side of the region. Turbulent mixing effect can also be detected on the right, top-right and left side. A sill-type deformation pattern of high intensity can be detected on the central side. ",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.795529902
path\to\your\images\5773.png,"Turbulent mixing effect can be detected on the top, right and bottom side. Vertical stratification effect can also be detected on the top side. A dyke-type deformation pattern of medium intensity can be detected on the top side of the image.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the top side. a dyke - type deformation pattern of high intensity can be detected on the top side of the image.,0.941443801
path\to\your\images\17060.png,A vertical stratification effect can be detected on the left side of the region. A sill-type deformation pattern of medium intensity can be detected on the central side.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.860873163
path\to\your\images\16907.png,Noise can be detected on the central side. Vertical stratification effect can be detected on the left side of the region. Turbulent mixing effect can also be detected on the left and right side.  An unidentified deformation pattern of high intensity can be detected on the central side.,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.76601696
path\to\your\images\9261.png,"Noise can be detected on the central and bottom-right side of the area. Turbulent mixing effect can be detected on the central, top-left and botto-right side of the region. Two deformation patterns can be detected on the bottom-right side of the region. A sill-type deformation of high intensity can be detected on the leftmost and a sill-type of low intensity on the rightmost.  ",vertical stratification effect can be detected on the top - left side of the region. turbulent mixing effect can also be detected on the central and bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.840694189
path\to\your\images\10591.png,Noise can be detected on the top-left and bottom-left side. Vertical stratification effect of low intensity can be detected in high altitude areas of the region. A mogi-type deformation pattern of low intensity can be detected on the bottom-left side. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.812269926
path\to\your\images\8431.png,Noise can be detected on the rightmost area. Turbulent mixing effect can be detected on the wider left and central side of the region. Vertical stratification can also be detected on the central side. An earthquake deformation pattern can be detected on the top-central side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.865809083
path\to\your\images\2890.png,"Turbulent mixing effect or wave-like patterns caused by liquid and solid particles of the atmosphere can be detected around the area. Also, noisy areas can be detected due to low coherence. Low deformation activity can be detected. difficultNoise is covering the wider area of the region due to low coherence. It is difficult to detect an atmospheric impact due to low coherence. A mogi-type deformation pattern of low intensity is detected on the central of the image.",vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.718496084
path\to\your\images\8913.png,"Turbulent mixing effect can be detected on the bottom-right, central and top-left side of the region. A sill-type deformation pattern of high intensity can be detected on the bottom-right side of the region.",vertical stratification effect can be detected on the top - left side of the region. turbulent mixing effect can also be detected on the central and bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.890801132
path\to\your\images\6943.png,"Turbulent mixing effect can be detected on the top-left, central and right side of the region. A mogi-type deformation pattern of low intensity can be detected on the central-right side.",vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.830943942
path\to\your\images\10598.png,No deformation activity can be detected. Orbital fringes detected. Difficulties in extracting information.,vertical stratification effect can be detected on the top and top - left side of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.56763351
path\to\your\images\16814.png,Noise can be detected on the central area. Turbulent mixing effect can be detected on the wider area. Vertical stratification effect is also detected on the left side. A sill-type deformation pattern of low intensity can be detected on the central side.  ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.809676468
path\to\your\images\5785.png,Turbulent mixing effect can be detected on the wider area of the region. Vertical stratification effect can also be detected on the top side. A dyke-type deformation pattern of high intensity can be detected on the top side of the image. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the top side. a dyke - type deformation pattern of high intensity can be detected on the top side of the image.,0.962116122
path\to\your\images\1978.png,Vertical stratification effect of low intensity can be detected on the topmost-left and right side of the region.  A sill-type deformation pattern of low intensity is detected in top-right side of the region. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the bottom - right side. a mogi - type deformation pattern of low intensity can be detected on the central - right side of the region.,0.858877122
path\to\your\images\6151.png,Noisy areas caused by low coherence can be detected on the central-right side of the region. Turbulent mixing effect can be detected on the central and bottom side of the region. Vertical stratification effect can also be detected on the high altitude areas. Two dyke-type deformation patterns of high intensity can be detected on the right side of the region. The noise which is located in the deformation zones is caused by the high displacement intensity. ,vertical stratification effect can be detected on the top side of the region. turbulent mixing effect can also be detected on the central side. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.808567166
path\to\your\images\1199.png,Turbulent mixing effect can be detected on the bottom-right side of the region. A sill-type deformation pattern of low intensity is detected at the bottom of the image. ,vertical stratification effect can be detected on the high altitude areas of the region. a sill - type deformation pattern of low intensity can be detected at the bottom of the image.,0.876537859
