filename,actual_caption,generated_caption,BERT_f1_score
path\to\your\images\17060.png,A vertical stratification effect can be detected on the left side of the region. A sill-type deformation pattern of medium intensity can be detected on the central side.,a close up of a fish with a red and blue tail,0.413469493
path\to\your\images\16907.png,Noise can be detected on the central side. Vertical stratification effect can be detected on the left side of the region. Turbulent mixing effect can also be detected on the left and right side.  An unidentified deformation pattern of high intensity can be detected on the central side.,arafed image of a map of the united states with a heart shaped elephant,0.393345416
path\to\your\images\9261.png,"Noise can be detected on the central and bottom-right side of the area. Turbulent mixing effect can be detected on the central, top-left and botto-right side of the region. Two deformation patterns can be detected on the bottom-right side of the region. A sill-type deformation of high intensity can be detected on the leftmost and a sill-type of low intensity on the rightmost.  ",a close up of a map of a mountain with a black background,0.372629881
path\to\your\images\10591.png,Noise can be detected on the top-left and bottom-left side. Vertical stratification effect of low intensity can be detected in high altitude areas of the region. A mogi-type deformation pattern of low intensity can be detected on the bottom-left side. ,a close up of a map of a large area with a red and blue area,0.461663961
path\to\your\images\8431.png,Noise can be detected on the rightmost area. Turbulent mixing effect can be detected on the wider left and central side of the region. Vertical stratification can also be detected on the central side. An earthquake deformation pattern can be detected on the top-central side of the region. ,a close up of a satellite image of a group of rocks,0.422388494
path\to\your\images\2890.png,"Turbulent mixing effect or wave-like patterns caused by liquid and solid particles of the atmosphere can be detected around the area. Also, noisy areas can be detected due to low coherence. Low deformation activity can be detected. difficultNoise is covering the wider area of the region due to low coherence. It is difficult to detect an atmospheric impact due to low coherence. A mogi-type deformation pattern of low intensity is detected on the central of the image.",a close up of a satellite image of a cluster of stars,0.426775038
path\to\your\images\8913.png,"Turbulent mixing effect can be detected on the bottom-right, central and top-left side of the region. A sill-type deformation pattern of high intensity can be detected on the bottom-right side of the region.",a close up of a map of the island of hawaii,0.381524473
path\to\your\images\6943.png,"Turbulent mixing effect can be detected on the top-left, central and right side of the region. A mogi-type deformation pattern of low intensity can be detected on the central-right side.",arafed image of a map of the island of hawaii,0.375410497
path\to\your\images\10598.png,No deformation activity can be detected. Orbital fringes detected. Difficulties in extracting information.,a close up of a picture of a piece of paper with a pattern,0.417230725
path\to\your\images\16814.png,Noise can be detected on the central area. Turbulent mixing effect can be detected on the wider area. Vertical stratification effect is also detected on the left side. A sill-type deformation pattern of low intensity can be detected on the central side.  ,a close up of a map of a cat with a red and blue tail,0.409932703
path\to\your\images\5785.png,Turbulent mixing effect can be detected on the wider area of the region. Vertical stratification effect can also be detected on the top side. A dyke-type deformation pattern of high intensity can be detected on the top side of the image. ,there are many kites that are flying in the sky,0.407978982
path\to\your\images\1978.png,Vertical stratification effect of low intensity can be detected on the topmost-left and right side of the region.  A sill-type deformation pattern of low intensity is detected in top-right side of the region. ,a close up of a satellite image of a map of spain,0.401312917
path\to\your\images\6151.png,Noisy areas caused by low coherence can be detected on the central-right side of the region. Turbulent mixing effect can be detected on the central and bottom side of the region. Vertical stratification effect can also be detected on the high altitude areas. Two dyke-type deformation patterns of high intensity can be detected on the right side of the region. The noise which is located in the deformation zones is caused by the high displacement intensity. ,there are two pictures of a map of the world with a red and blue map,0.419450045
path\to\your\images\1199.png,Turbulent mixing effect can be detected on the bottom-right side of the region. A sill-type deformation pattern of low intensity is detected at the bottom of the image. ,a close up of a map of the world with a red and blue map,0.451985955
